quality_rule,waveform,action_id,action_code,excluded_participant_code,B,W,W_over_B,continuous_n90,integer_n90,boundary_nodes
unaltered_nonzero_primary,body_configuration,2,FD,17,4.74467688839,2.84836020697,0.600327540521,5.40294786468,6,0
unaltered_nonzero_primary,body_configuration,2,FD,18,4.49678602891,2.78383258533,0.619071614133,5.5716445272,6,0
unaltered_nonzero_primary,body_configuration,2,FD,19,4.55154065872,2.81956256237,0.619474321725,5.57526889553,6,0
unaltered_nonzero_primary,body_configuration,2,FD,20,4.58578959284,2.85039989012,0.621572323023,5.59415090721,6,0
unaltered_nonzero_primary,body_configuration,2,FD,21,4.80443364538,2.83112095074,0.589272567739,5.30345310965,6,0
unaltered_nonzero_primary,body_configuration,2,FD,22,4.71942638595,2.87637244575,0.609475010421,5.48527509379,6,0
unaltered_nonzero_primary,body_configuration,2,FD,23,4.61830712507,2.84247636075,0.615480149712,5.5393213474,6,0
unaltered_nonzero_primary,body_configuration,2,FD,24,4.77538925356,2.84597884675,0.595967929657,5.36371136691,6,0
unaltered_nonzero_primary,body_configuration,2,FD,25,4.58619541759,2.87732325548,0.62738784406,5.64649059654,6,0
unaltered_nonzero_primary,body_configuration,2,FD,26,4.73007106492,2.84634679277,0.60175560868,5.41580047812,6,0
unaltered_nonzero_primary,body_configuration,2,FD,27,4.66121101793,2.83781705099,0.608815400133,5.4793386012,6,0
unaltered_nonzero_primary,body_configuration,2,FD,28,4.72152047115,2.86117135349,0.605985163249,5.45386646925,6,0
unaltered_nonzero_primary,body_configuration,2,FD,29,4.57488570942,2.87271530011,0.627931599296,5.65138439367,6,0
unaltered_nonzero_primary,body_configuration,2,FD,30,4.56489147597,2.90516318865,0.636414513674,5.72773062306,6,0
unaltered_nonzero_primary,body_configuration,3,FP,1,1.42177067764,0.53212686534,0.374270530199,3.36843477179,4,0
unaltered_nonzero_primary,body_configuration,3,FP,2,1.47371758565,0.520307215889,0.353057614943,3.17751853448,4,0
unaltered_nonzero_primary,body_configuration,3,FP,3,1.47730419793,0.533205793127,0.360931617114,3.24838455402,4,0
unaltered_nonzero_primary,body_configuration,3,FP,4,1.44982182091,0.535733278811,0.369516633758,3.32564970382,4,0
unaltered_nonzero_primary,body_configuration,3,FP,5,1.34317614995,0.534513064141,0.397947107801,3.58152397021,4,0
